year,team,conference,predicted_rating,national_rank
2016,Toledo,Mid-American,12.3,26
2016,Texas A&M,SEC,12.0,27
2016,Temple,American Athletic,11.9,28
2016,Boise State,Pac-12,11.5,29
2016,Western Michigan,Mid-American,11.5,29
2016,San Diego State,Pac-12,11.4,31
2016,Baylor,Big 12,11.3,32
2016,West Virginia,Big 12,11.3,32
2016,TCU,Big 12,11.0,34
2016,Utah,Big 12,10.9,35
2016,Texas,SEC,10.6,36
2016,Iowa,Big Ten,10.3,37
2016,Nebraska,Big Ten,10.3,37
2016,Houston,Big 12,10.1,39
2016,South Florida,American Athletic,9.8,40
2016,NC State,ACC,9.4,41
2016,Georgia,SEC,9.3,42
2016,App State,Sun Belt,9.2,43
2016,UCLA,Big Ten,9.1,44
2016,Kansas State,Big 12,8.2,45
2016,BYU,Big 12,8.0,46
2016,Arkansas,SEC,7.9,47
2016,Georgia Tech,ACC,7.8,48
2016,Memphis,American Athletic,7.7,49
2016,Michigan State,Big Ten,7.4,50
2016,Tulsa,American Athletic,7.4,50
2016,Navy,American Athletic,6.8,52
2016,Colorado,Big 12,6.3,53
2016,Washington State,Pac-12,6.2,54
2016,Oregon,Big Ten,6.1,55
2016,Mississippi State,SEC,5.4,56
2016,Indiana,Big Ten,4.6,57
2016,Air Force,Mountain West,4.4,58
2016,Texas Tech,Big 12,3.7,59
2016,Louisiana Tech,Conference USA,3.1,60
2016,Northwestern,Big Ten,2.9,61
2016,California,ACC,2.4,62
2016,nationalAverages,,1.95,63
2016,Troy,Sun Belt,1.1,64
2016,Colorado State,Pac-12,0.8,65
2016,Iowa State,Big 12,0.7,66
2016,Southern Miss,Sun Belt,0.7,66
2016,Maryland,Big Ten,-0.6,68
2016,Wake Forest,ACC,-0.6,68
2016,Old Dominion,Sun Belt,-0.7,70
2016,Missouri,SEC,-1.0,71
2016,Arkansas State,Sun Belt,-1.2,72
2016,Vanderbilt,SEC,-1.2,72
2016,Boston College,ACC,-1.6,74
2016,Middle Tennessee,Conference USA,-1.9,75
2016,Ohio,Mid-American,-2.1,76
2016,UCF,Big 12,-2.2,77
2016,Northern Illinois,Mountain West,-2.4,78
2016,Kentucky,SEC,-2.6,79
2016,Syracuse,ACC,-2.7,80
2016,Duke,ACC,-2.8,81
2016,Arizona State,Big 12,-3.0,82
2016,Cincinnati,Big 12,-3.6,83
2016,Virginia,ACC,-3.8,84
2016,Georgia Southern,Sun Belt,-3.9,85
2016,South Carolina,SEC,-4.0,86
2016,Utah State,Pac-12,-4.4,87
2016,Arizona,Big 12,-4.5,88
2016,Oregon State,Pac-12,-4.6,89
2016,New Mexico,Mountain West,-5.1,90
2016,Akron,Mid-American,-5.6,91
2016,Central Michigan,Mid-American,-6.1,92
2016,Miami (OH),Mid-American,-6.1,92
2016,Bowling Green,Mid-American,-6.6,94
2016,Illinois,Big Ten,-6.7,95
2016,Wyoming,Mountain West,-6.9,96
2016,Ball State,Mid-American,-7.0,97
2016,Eastern Michigan,Mid-American,-8.2,98
2016,Idaho,Big Sky,-8.6,99
2016,Louisiana,Sun Belt,-8.7,100
2016,East Carolina,American Athletic,-9.0,101
2016,South Alabama,Sun Belt,-9.4,102
2016,Army,American Athletic,-9.9,103
2016,Hawai'i,Mountain West,-10.1,104
2016,SMU,ACC,-10.8,105
2016,Purdue,Big Ten,-11.0,106
2016,UTSA,American Athletic,-11.2,107
2016,UConn,FBS Independents,-11.6,108
2016,Kent State,Mid-American,-12.0,109
2016,Georgia State,Sun Belt,-12.1,110
2016,Marshall,Sun Belt,-12.7,111
2016,Nevada,Mountain West,-13.0,112
2016,San José State,Mountain West,-13.6,113
2016,Florida Atlantic,American Athletic,-14.1,114
2016,UNLV,Mountain West,-14.3,115
2016,North Texas,American Athletic,-14.6,116
2016,Tulane,American Athletic,-14.6,116
2016,Rutgers,Big Ten,-14.9,118
2016,Massachusetts,Mid-American,-15.3,119
2016,Kansas,Big 12,-15.9,120
2016,UTEP,Mountain West,-16.1,121
2016,Rice,American Athletic,-16.5,122
2016,Fresno State,Pac-12,-16.9,123
2016,New Mexico State,Conference USA,-17.2,124
2016,Buffalo,Mid-American,-18.8,125
2016,Florida International,Conference USA,-19.0,126
2016,Charlotte,American Athletic,-20.9,127
2016,UL Monroe,Sun Belt,-21.3,128
2016,Texas State,Pac-12,-25.5,129
2017,Michigan,Big Ten,19.52,1
2017,Ohio State,Big Ten,19.34,2
2017,Georgia,SEC,18.51,3
2017,Alabama,SEC,18.5,4
2017,USC,Big Ten,18.21,5
2017,LSU,SEC,17.97,6
2017,Washington,Big Ten,17.94,7
2017,Florida,SEC,17.64,8
2017,Notre Dame,FBS Independents,17.39,9
2017,Auburn,SEC,17.34,10
2017,Stanford,ACC,16.1,11
2017,Miami,ACC,15.83,12
2017,Florida State,ACC,15.75,13
2017,TCU,Big 12,15.72,14
2017,Oklahoma,SEC,14.75,15
2017,Clemson,ACC,14.61,16
2017,Penn State,Big Ten,14.18,17
2017,Texas,SEC,14.05,18
2017,Memphis,American Athletic,13.09,19
2017,Iowa,Big Ten,12.67,20
2017,Utah,Big 12,12.38,21
2017,Northwestern,Big Ten,12.2,22
2017,Virginia Tech,ACC,12.14,23
2017,Washington State,Pac-12,12.13,24
2017,Indiana,Big Ten,11.57,25
2017,Mississippi State,SEC,11.0,26
2017,Texas A&M,SEC,10.86,27
2017,South Florida,American Athletic,10.82,28
2017,Wisconsin,Big Ten,10.75,29
2017,South Carolina,SEC,10.28,30
2017,Oklahoma State,Big 12,10.03,31
2017,Louisville,ACC,10.01,32
2017,Michigan State,Big Ten,9.3,33
2017,Boise State,Pac-12,9.1,34
2017,Ole Miss,SEC,9.02,35
2017,Wake Forest,ACC,8.94,36
2017,Missouri,SEC,8.81,37
2017,Houston,Big 12,8.79,38
2017,Oregon,Big Ten,8.35,39
2017,NC State,ACC,8.2,40
2017,UCF,Big 12,7.91,41
2017,Kansas State,Big 12,7.72,42
2017,Georgia Tech,ACC,7.61,43
2017,UCLA,Big Ten,5.74,44
2017,North Carolina,ACC,5.59,45
2017,Iowa State,Big 12,5.55,46
2017,Syracuse,ACC,4.79,47
2017,Duke,ACC,4.59,48
2017,Pittsburgh,ACC,3.23,49
2017,Arizona State,Big 12,3.06,50
2017,Florida Atlantic,American Athletic,3.02,51
2017,Toledo,Mid-American,2.84,52
2017,Kentucky,SEC,2.79,53
2017,Colorado,Big 12,2.78,54
2017,Colorado State,Pac-12,2.75,55
2017,Arkansas,SEC,2.54,56
2017,West Virginia,Big 12,2.29,57
2017,Tennessee,SEC,2.22,58
2017,Arizona,Big 12,2.13,59
2017,San Diego State,Pac-12,1.88,60
2017,nationalAverages,,0.96,61
2017,Nebraska,Big Ten,0.91,62
2017,California,ACC,0.66,63
2017,Texas Tech,Big 12,0.24,64
2017,Ohio,Mid-American,0.18,65
2017,Arkansas State,Sun Belt,0.12,66
2017,Baylor,Big 12,0.05,67
2017,Western Michigan,Mid-American,-0.36,68
2017,Vanderbilt,SEC,-0.53,69
2017,Minnesota,Big Ten,-0.78,70
2017,Virginia,ACC,-0.79,71
2017,Boston College,ACC,-1.53,72
2017,Purdue,Big Ten,-1.73,73
2017,SMU,ACC,-1.79,74
2017,Southern Miss,Sun Belt,-2.23,75
2017,Marshall,Sun Belt,-2.54,76
2017,UTSA,American Athletic,-2.65,77
2017,Fresno State,Pac-12,-2.67,78
2017,Miami (OH),Mid-American,-2.74,79
2017,Utah State,Pac-12,-2.83,80
2017,Rutgers,Big Ten,-2.96,81
2017,Troy,Sun Belt,-3.06,82
2017,Illinois,Big Ten,-3.1,83
2017,Wyoming,Mountain West,-3.63,84
2017,App State,Sun Belt,-3.73,85
2017,Temple,American Athletic,-3.86,86
2017,Maryland,Big Ten,-4.0,87
2017,Northern Illinois,Mountain West,-4.8,88
2017,North Texas,American Athletic,-5.06,89
2017,Middle Tennessee,Conference USA,-5.32,90
2017,Tulane,American Athletic,-5.7,91
2017,Louisiana Tech,Conference USA,-5.74,92
2017,Navy,American Athletic,-5.82,93
2017,BYU,Big 12,-6.29,94
2017,East Carolina,American Athletic,-6.86,95
2017,Cincinnati,Big 12,-7.25,96
2017,Kansas,Big 12,-7.26,97
2017,UL Monroe,Sun Belt,-7.41,98
2017,New Mexico,Mountain West,-8.06,99
2017,Georgia Southern,Sun Belt,-8.31,100
2017,South Alabama,Sun Belt,-8.47,101
2017,Bowling Green,Mid-American,-8.58,102
2017,Air Force,Mountain West,-8.85,103
2017,Florida International,Conference USA,-8.86,104
2017,Western Kentucky,Conference USA,-8.88,105
2017,Army,American Athletic,-9.11,106
2017,San José State,Mountain West,-9.47,107
2017,Oregon State,Pac-12,-9.85,108
2017,Tulsa,American Athletic,-9.99,109
2017,Eastern Michigan,Mid-American,-10.84,110
2017,New Mexico State,Conference USA,-11.32,111
2017,Old Dominion,Sun Belt,-11.53,112
2017,Louisiana,Sun Belt,-11.82,113
2017,UConn,FBS Independents,-12.33,114
2017,Georgia State,Sun Belt,-13.53,115
2017,Nevada,Mountain West,-13.59,116
2017,Idaho,Big Sky,-13.78,117
2017,Texas State,Pac-12,-13.81,118
2017,Buffalo,Mid-American,-13.89,119
2017,Charlotte,American Athletic,-13.98,120
2017,UNLV,Mountain West,-14.0,121
2017,Hawai'i,Mountain West,-14.02,122
2017,Akron,Mid-American,-14.31,123
2017,UTEP,Mountain West,-14.31,123
2017,Rice,American Athletic,-14.43,125
2017,Massachusetts,Mid-American,-14.46,126
2017,Central Michigan,Mid-American,-14.54,127
2017,Ball State,Mid-American,-14.71,128
2017,Kent State,Mid-American,-14.75,129
2018,Notre Dame,FBS Independents,21.66,1
2018,Georgia,SEC,21.49,2
2018,Alabama,SEC,21.31,3
2018,Ohio State,Big Ten,21.18,4
2018,Clemson,ACC,20.71,5
2018,Auburn,SEC,19.49,6
2018,Michigan,Big Ten,19.43,7
2018,LSU,SEC,19.11,8
2018,Texas A&M,SEC,19.0,9
2018,Florida,SEC,18.9,10
2018,Penn State,Big Ten,18.67,11
2018,Washington,Big Ten,17.56,12
2018,Mississippi State,SEC,16.19,13
2018,USC,Big Ten,16.11,14
2018,Oklahoma,SEC,14.6,15
2018,Miami,ACC,14.49,16
2018,Missouri,SEC,12.34,17
2018,Texas,SEC,12.22,18
2018,Michigan State,Big Ten,12.09,19
2018,Wisconsin,Big Ten,12.03,20
2018,Kentucky,SEC,11.97,21
2018,Iowa,Big Ten,11.83,22
2018,Stanford,ACC,11.2,23
2018,South Carolina,SEC,11.07,24
2018,Utah,Big 12,10.82,25
2018,Oregon,Big Ten,10.55,26
2018,TCU,Big 12,10.24,27
2018,Iowa State,Big 12,10.23,28
2018,Minnesota,Big Ten,9.74,29
2018,NC State,ACC,9.01,30
2018,Duke,ACC,8.96,31
2018,Boise State,Pac-12,8.8,32
2018,Ole Miss,SEC,8.32,33
2018,Cincinnati,Big 12,8.24,34
2018,Tennessee,SEC,8.19,35
2018,West Virginia,Big 12,7.89,36
2018,Syracuse,ACC,7.82,37
2018,Oklahoma State,Big 12,7.78,38
2018,Washington State,Pac-12,7.72,39
2018,UCF,Big 12,7.71,40
2018,Arizona State,Big 12,7.42,41
2018,Nebraska,Big Ten,7.14,42
2018,Texas Tech,Big 12,6.55,43
2018,Vanderbilt,SEC,6.46,44
2018,Virginia,ACC,6.35,45
2018,Florida State,ACC,6.16,46
2018,Northwestern,Big Ten,6.0,47
2018,Virginia Tech,ACC,5.57,48
2018,Arizona,Big 12,5.26,49
2018,California,ACC,5.26,49
2018,UCLA,Big Ten,5.24,51
2018,Wake Forest,ACC,5.02,52
2018,Arkansas,SEC,4.93,53
2018,Baylor,Big 12,4.92,54
2018,Utah State,Pac-12,4.77,55
2018,Indiana,Big Ten,4.74,56
2018,App State,Sun Belt,4.69,57
2018,Pittsburgh,ACC,4.69,57
2018,Fresno State,Pac-12,4.67,59
2018,Georgia Tech,ACC,4.65,60
2018,North Carolina,ACC,4.46,61
2018,Colorado,Big 12,4.23,62
2018,Boston College,ACC,4.19,63
2018,Purdue,Big Ten,4.02,64
2018,Maryland,Big Ten,3.69,65
2018,San Diego State,Pac-12,3.63,66
2018,BYU,Big 12,3.34,67
2018,Kansas State,Big 12,3.27,68
2018,Memphis,American Athletic,2.97,69
2018,Houston,Big 12,2.87,70
2018,South Florida,American Athletic,2.03,71
2018,Toledo,Mid-American,1.74,72
2018,Troy,Sun Belt,1.18,73
2018,nationalAverages,,1.17,74
2018,Marshall,Sun Belt,0.99,75
2018,Temple,American Athletic,-0.63,76
2018,Florida Atlantic,American Athletic,-1.19,77
2018,Tulane,American Athletic,-1.46,78
2018,Illinois,Big Ten,-1.83,79
2018,UAB,American Athletic,-2.33,80
2018,Buffalo,Mid-American,-3.02,81
2018,Arkansas State,Sun Belt,-3.52,82
2018,Georgia Southern,Sun Belt,-3.6,83
2018,Miami (OH),Mid-American,-3.6,83
2018,Louisville,ACC,-3.74,85
2018,Middle Tennessee,Conference USA,-3.82,86
2018,Rutgers,Big Ten,-3.94,87
2018,Kansas,Big 12,-4.05,88
2018,North Texas,American Athletic,-4.31,89
2018,Wyoming,Mountain West,-4.53,90
2018,Ohio,Mid-American,-4.59,91
2018,Eastern Michigan,Mid-American,-4.73,92
2018,Army,American Athletic,-5.33,93
2018,Northern Illinois,Mountain West,-5.48,94
2018,Nevada,Mountain West,-5.7,95
2018,Air Force,Mountain West,-5.86,96
2018,Florida International,Conference USA,-5.87,97
2018,SMU,ACC,-5.9,98
2018,Louisiana,Sun Belt,-6.58,99
2018,Colorado State,Pac-12,-6.59,100
2018,Oregon State,Pac-12,-6.63,101
2018,East Carolina,American Athletic,-6.73,102
2018,Western Michigan,Mid-American,-7.08,103
2018,Louisiana Tech,Conference USA,-7.41,104
2018,UTSA,American Athletic,-8.83,105
2018,Georgia State,Sun Belt,-8.89,106
2018,Southern Miss,Sun Belt,-9.07,107
2018,UConn,FBS Independents,-9.41,108
2018,San José State,Mountain West,-9.44,109
2018,Old Dominion,Sun Belt,-9.51,110
2018,UNLV,Mountain West,-9.8,111
2018,New Mexico,Mountain West,-10.2,112
2018,UL Monroe,Sun Belt,-10.33,113
2018,Bowling Green,Mid-American,-10.35,114
2018,Hawai'i,Mountain West,-10.47,115
2018,Navy,American Athletic,-10.69,116
2018,Kent State,Mid-American,-10.95,117
2018,Western Kentucky,Conference USA,-11.23,118
2018,Tulsa,American Athletic,-11.51,119
2018,South Alabama,Sun Belt,-11.62,120
2018,Central Michigan,Mid-American,-11.7,121
2018,Massachusetts,Mid-American,-12.02,122
2018,Liberty,Conference USA,-12.49,123
2018,Coastal Carolina,Sun Belt,-13.3,124
2018,Akron,Mid-American,-13.49,125
2018,Ball State,Mid-American,-13.55,126
2018,Rice,American Athletic,-13.68,127
2018,Charlotte,American Athletic,-13.85,128
2018,Texas State,Pac-12,-14.0,129
2018,New Mexico State,Conference USA,-14.34,130
2018,UTEP,Mountain West,-14.59,131
2019,Penn State,Big Ten,24.3,1
2019,Georgia,SEC,24.07,2
2019,Ohio State,Big Ten,24.05,3
2019,Auburn,SEC,23.77,4
2019,Alabama,SEC,23.19,5
2019,LSU,SEC,20.09,6
2019,Michigan,Big Ten,20.03,7
2019,Oklahoma,SEC,20.0,8
2019,Florida,SEC,19.83,9
2019,Wisconsin,Big Ten,18.97,10
2019,Clemson,ACC,17.04,11
2019,Utah,Big 12,16.73,12
2019,Texas A&M,SEC,15.58,13
2019,Washington,Big Ten,15.16,14
2019,Oregon,Big Ten,14.49,15
2019,Notre Dame,FBS Independents,14.08,16
2019,Iowa,Big Ten,13.86,17
2019,Tennessee,SEC,12.79,18
2019,Baylor,Big 12,12.68,19
2019,Michigan State,Big Ten,12.08,20
2019,Minnesota,Big Ten,12.04,21
2019,Virginia Tech,ACC,11.95,22
2019,Texas,SEC,11.94,23
2019,Miami,ACC,11.85,24
2019,Iowa State,Big 12,11.6,25
2019,USC,Big Ten,11.51,26
2019,North Carolina,ACC,11.17,27
2019,Kentucky,SEC,11.08,28
2019,UCF,Big 12,10.76,29
2019,Cincinnati,Big 12,9.77,30
2019,South Carolina,SEC,9.54,31
2019,TCU,Big 12,9.1,32
2019,Indiana,Big Ten,9.07,33
2019,Missouri,SEC,7.79,34
2019,Oklahoma State,Big 12,7.52,35
2019,Boise State,Pac-12,7.48,36
2019,Ole Miss,SEC,7.09,37
2019,Memphis,American Athletic,7.06,38
2019,Virginia,ACC,6.93,39
2019,Kansas State,Big 12,6.92,40
2019,Mississippi State,SEC,6.18,41
2019,Arizona State,Big 12,6.16,42
2019,Pittsburgh,ACC,5.53,43
2019,Washington State,Pac-12,5.37,44
2019,Florida State,ACC,5.29,45
2019,Duke,ACC,4.7,46
2019,Nebraska,Big Ten,4.69,47
2019,Air Force,Mountain West,4.57,48
2019,Illinois,Big Ten,4.19,49
2019,App State,Sun Belt,4.09,50
2019,Louisiana Tech,Conference USA,3.43,51
2019,Temple,American Athletic,3.28,52
2019,Texas Tech,Big 12,3.25,53
2019,Tulane,American Athletic,3.22,54
2019,California,ACC,3.07,55
2019,Colorado,Big 12,2.98,56
2019,Purdue,Big Ten,2.91,57
2019,nationalAverages,,2.86,58
2019,Louisville,ACC,2.8,59
2019,Louisiana,Sun Belt,2.72,60
2019,BYU,Big 12,2.6,61
2019,Navy,American Athletic,2.6,61
2019,Wake Forest,ACC,2.51,63
2019,San Diego State,Pac-12,2.42,64
2019,Marshall,Sun Belt,2.26,65
2019,Western Kentucky,Conference USA,2.26,65
2019,Syracuse,ACC,2.22,67
2019,Colorado State,Pac-12,1.59,68
2019,Troy,Sun Belt,1.57,69
2019,Oregon State,Pac-12,1.28,70
2019,SMU,ACC,0.93,71
2019,Florida Atlantic,American Athletic,0.22,72
2019,Fresno State,Pac-12,0.06,73
2019,Tulsa,American Athletic,-0.01,74
2019,Utah State,Pac-12,-0.19,75
2019,Houston,Big 12,-0.55,76
2019,UCLA,Big Ten,-0.62,77
2019,Buffalo,Mid-American,-1.37,78
2019,Wyoming,Mountain West,-1.41,79
2019,Ohio,Mid-American,-1.66,80
2019,UAB,American Athletic,-1.83,81
2019,Hawai'i,Mountain West,-2.29,82
2019,Northwestern,Big Ten,-2.53,83
2019,NC State,ACC,-2.7,84
2019,Georgia Southern,Sun Belt,-2.84,85
2019,Stanford,ACC,-2.93,86
2019,Liberty,Conference USA,-2.98,87
2019,Boston College,ACC,-3.54,88
2019,Arkansas State,Sun Belt,-3.68,89
2019,West Virginia,Big 12,-4.19,90
2019,Arizona,Big 12,-4.21,91
2019,Florida International,Conference USA,-4.72,92
2019,Maryland,Big Ten,-4.75,93
2019,Southern Miss,Sun Belt,-5.15,94
2019,Ball State,Mid-American,-5.36,95
2019,Army,American Athletic,-5.52,96
2019,South Florida,American Athletic,-5.55,97
2019,Western Michigan,Mid-American,-6.23,98
2019,Central Michigan,Mid-American,-6.48,99
2019,Vanderbilt,SEC,-6.5,100
2019,Georgia Tech,ACC,-6.67,101
2019,Eastern Michigan,Mid-American,-7.07,102
2019,Arkansas,SEC,-7.33,103
2019,Rutgers,Big Ten,-7.38,104
2019,North Texas,American Athletic,-7.9,105
2019,San José State,Mountain West,-8.01,106
2019,Toledo,Mid-American,-8.29,107
2019,Charlotte,American Athletic,-8.62,108
2019,Kansas,Big 12,-8.78,109
2019,East Carolina,American Athletic,-9.23,110
2019,Miami (OH),Mid-American,-9.63,111
2019,Northern Illinois,Mountain West,-9.65,112
2019,Nevada,Mountain West,-9.99,113
2019,Georgia State,Sun Belt,-10.09,114
2019,New Mexico,Mountain West,-10.17,115
2019,Kent State,Mid-American,-10.36,116
2019,Middle Tennessee,Conference USA,-10.44,117
2019,UNLV,Mountain West,-10.61,118
2019,UL Monroe,Sun Belt,-10.87,119
2019,Rice,American Athletic,-12.46,120
2019,Coastal Carolina,Sun Belt,-13.53,121
2019,UTSA,American Athletic,-13.59,122
2019,South Alabama,Sun Belt,-13.86,123
2019,Massachusetts,Mid-American,-13.87,124
2019,New Mexico State,Conference USA,-13.98,125
2019,Texas State,Pac-12,-14.16,126
2019,UConn,FBS Independents,-14.21,127
2019,Bowling Green,Mid-American,-14.36,128
2019,Old Dominion,Sun Belt,-14.53,129
2019,UTEP,Mountain West,-14.75,130
2019,Akron,Mid-American,-16.1,131
2020,Alabama,SEC,25.88,1
2020,Ohio State,Big Ten,25.59,2
2020,Clemson,ACC,22.53,3
2020,Georgia,SEC,20.84,4
2020,Notre Dame,FBS Independents,19.65,5
2020,Texas A&M,SEC,17.2,6
2020,Auburn,SEC,16.66,7
2020,Penn State,Big Ten,16.36,8
2020,Miami,ACC,16.26,9
2020,Florida,SEC,15.98,10
2020,Oregon,Big Ten,15.74,11
2020,Oklahoma,SEC,15.6,12
2020,Michigan,Big Ten,14.66,13
2020,Wisconsin,Big Ten,14.25,14
2020,Washington,Big Ten,14.01,15
2020,Iowa,Big Ten,13.44,16
2020,Texas,SEC,12.94,17
2020,LSU,SEC,11.67,18
2020,West Virginia,Big 12,11.57,19
2020,Arizona State,Big 12,11.12,20
2020,Cincinnati,Big 12,10.34,21
2020,USC,Big Ten,10.31,22
2020,Iowa State,Big 12,10.2,23
2020,Utah,Big 12,9.77,24
2020,Oklahoma State,Big 12,9.17,25
2020,Northwestern,Big Ten,8.44,26
2020,North Carolina,ACC,7.97,27
2020,Nebraska,Big Ten,7.65,28
2020,Pittsburgh,ACC,7.59,29
2020,Indiana,Big Ten,6.78,30
2020,Ole Miss,SEC,6.34,31
2020,BYU,Big 12,6.33,32
